Description,Given Category,Given Sub-Category,Category,Sub_Category
"Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,Home,Furniture_Appliances
netTALK DUO VoIP Telephone Service,Technology,Phones,,
Logitech G700s Rechargeable Gaming Mouse,Technology,Accessories,,
Hon Multipurpose Stacking Arm Chairs,Furniture,Chairs,Home,Furniture_Appliances
SanDisk Cruzer 8 GB USB Flash Drive,Technology,Accessories,,
SpineVue Locking Slant-D Ring Binders by Cardinal,Office Supplies,Binders,,
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,Home,Furniture_Appliances
Advantus Rolling Drawer Organizers,Office Supplies,Storage,,
Hon Comfortask Task/Swivel Chairs,Furniture,Chairs,Home,Furniture_Appliances
Crayola Colored Pencils,Office Supplies,Art,,
Plantronics S12 Corded Telephone Headset System,Technology,Accessories,,
Plantronics Calisto P620-M USB Wireless Speakerphone System,Technology,Phones,,
Hoover Upright Vacuum With Dirt Cup,Office Supplies,Appliances,,
Xerox 1903,Office Supplies,Paper,,
Razer Kraken PRO Over Ear PC and Music Headset,Technology,Accessories,,
Hon Olson Stacker Stools,Furniture,Chairs,Home,Furniture_Appliances
Iceberg Mobile Mega Data/Printer Cart ,Office Supplies,Storage,,
"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper,,
Maxell 4.7GB DVD-R 5/Pack,Technology,Accessories,,
Canvas Sectional Post Binders,Office Supplies,Binders,,
GBC Plasticlear Binding Covers,Office Supplies,Binders,,
Wilson Jones Century Plastic Molded Ring Binders,Office Supplies,Binders,,
Plastic Stacking Crates & Casters,Office Supplies,Storage,,
Belkin F9M820V08 8 Outlet Surge,Office Supplies,Appliances,,
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,,
APC 7 Outlet Network SurgeArrest Surge Protector,Office Supplies,Appliances,,
Kingston Digital DataTraveler 16GB USB 2.0,Technology,Accessories,,
Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,Technology,Accessories,,
Crate-A-Files,Office Supplies,Storage,,
"Leather Task Chair, Black",Furniture,Chairs,Home,Furniture_Appliances
Ibico Standard Transparent Covers,Office Supplies,Binders,,
Xerox 222,Office Supplies,Paper,,
"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,Storage,,
Belkin 6 Outlet Metallic Surge Strip,Office Supplies,Appliances,,
"Global Leather and Oak Executive Chair, Black",Furniture,Chairs,Home,Furniture_Appliances
Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Furniture,Chairs,Home,Furniture_Appliances
Maxell 4.7GB DVD+R 5/Pack,Technology,Accessories,,
Avery 505,Office Supplies,Labels,,
Crayola Colored Pencils,Office Supplies,Art,,
Digium D40 VoIP phone,Technology,Phones,,
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,Technology,Phones,,
Mediabridge Sport Armband iPhone 5s,Technology,Phones,,
Global Low Back Tilter Chair,Furniture,Chairs,Home,Furniture_Appliances
Advantus Map Pennant Flags and Round Head Tacks,Office Supplies,Fasteners,,
"Global Stack Chair with Arms, Black",Furniture,Chairs,Home,Furniture_Appliances
Crayola Colored Pencils,Office Supplies,Art,,
"Leather Task Chair, Black",Furniture,Chairs,Home,Furniture_Appliances
Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,,
Acco 6 Outlet Guardian Standard Surge Suppressor,Office Supplies,Appliances,,
Xerox 224,Office Supplies,Paper,,
Pyle PMP37LED,Technology,Phones,,
AT&T 1080 Corded phone,Technology,Phones,,
Recycled Pressboard Report Cover with Reinforced Top Hinge,Office Supplies,Binders,,
Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Furniture,Chairs,Home,Furniture_Appliances
Deluxe Chalkboard Eraser Cleaner,Office Supplies,Art,,
Xerox 1884,Office Supplies,Paper,,
Binding Machine Supplies,Office Supplies,Binders,,
Panasonic KX-TG9471B,Technology,Phones,,
Deluxe Chalkboard Eraser Cleaner,Office Supplies,Art,,
Hon GuestStacker Chair,Furniture,Chairs,Home,Furniture_Appliances
Xerox 1962,Office Supplies,Paper,,
Xerox 1953,Office Supplies,Paper,,
Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,Home,Furniture_Appliances
Plymouth Boxed Rubber Bands by Plymouth,Office Supplies,Fasteners,,
Xerox 228,Office Supplies,Paper,,
Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,Home,Furniture_Appliances
"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs,Home,Furniture_Appliances
Xerox 191,Office Supplies,Paper,,
Office Star Flex Back Scooter Chair with White Frame,Furniture,Chairs,Home,Furniture_Appliances
Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,Chairs,Home,Furniture_Appliances
Logitech diNovo Edge Keyboard,Technology,Accessories,,
"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,Home,Furniture_Appliances
Deluxe Heavy-Duty Vinyl Round Ring Binder,Office Supplies,Binders,,
Global Deluxe Steno Chair,Furniture,Chairs,Home,Furniture_Appliances
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,Chairs,Home,Furniture_Appliances
Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,,
Computer Printout Index Tabs,Office Supplies,Binders,,
Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Furniture,Chairs,Home,Furniture_Appliances
Adtran 1202752G1,Technology,Phones,,
Deluxe Chalkboard Eraser Cleaner,Office Supplies,Art,,
Acco Perma 2700 Stacking Storage Drawers,Office Supplies,Storage,,
Xerox 1954,Office Supplies,Paper,,
"Global Armless Task Chair, Royal Blue",Furniture,Chairs,Home,Furniture_Appliances
Avery Self-Adhesive Photo Pockets for Polaroid Photos,Office Supplies,Binders,,
Poly String Tie Envelopes,Office Supplies,Envelopes,,
Embossed Ink Jet Note Cards,Office Supplies,Paper,,
Eldon Fold 'N Roll Cart System,Office Supplies,Storage,,
Xerox 1942,Office Supplies,Paper,,
"Carina Mini System Audio Rack, Model AR050B",Office Supplies,Storage,,
Plantronics Voyager Pro HD - Bluetooth Headset,Technology,Phones,,
Deluxe Chalkboard Eraser Cleaner,Office Supplies,Art,,
Avery Poly Binder Pockets,Office Supplies,Binders,,
Belkin 6 Outlet Metallic Surge Strip,Office Supplies,Appliances,,
Xerox 201,Office Supplies,Paper,,
Ibico Plastic Spiral Binding Combs,Office Supplies,Binders,,
Epson Perfection V600 Photo Scanner,Technology,Machines,Electronics,Electronics_misc
Iceberg Mobile Mega Data/Printer Cart ,Office Supplies,Storage,,
Global Comet Stacking Armless Chair,Furniture,Chairs,Home,Furniture_Appliances
Xerox 1945,Office Supplies,Paper,,
Fellowes Officeware Wire Shelving,Office Supplies,Storage,,
KeyTronic KT800P2 - Keyboard - Black,Technology,Accessories,,
Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs,Home,Furniture_Appliances
Deluxe Chalkboard Eraser Cleaner,Office Supplies,Art,,
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,,
"Global Geo Office Task Chair, Gray",Furniture,Chairs,Home,Furniture_Appliances
GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,,
ACCOHIDE Binder by Acco,Office Supplies,Binders,,
Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage,,
"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Office Supplies,Paper,,
Hon Valutask Swivel Chairs,Furniture,Chairs,Home,Furniture_Appliances
"Global Leather Task Chair, Black",Furniture,Chairs,Home,Furniture_Appliances
"Neat Ideas Personal Hanging Folder Files, Black",Office Supplies,Storage,,
Avery 498,Office Supplies,Labels,,
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,Home,Furniture_Appliances
Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,Home,Furniture_Appliances
Kingston Digital DataTraveler 32GB USB 2.0,Technology,Accessories,,
Nokia Lumia 925,Technology,Phones,,
"Global Leather and Oak Executive Chair, Black",Furniture,Chairs,Home,Furniture_Appliances
Xerox 1945,Office Supplies,Paper,,
Xerox 2000,Office Supplies,Paper,,
Sterilite Officeware Hinged File Box,Office Supplies,Storage,,
Staple holder,Office Supplies,Appliances,,
Design Ebony Sketching Pencil,Office Supplies,Art,,
Staple remover,Office Supplies,Supplies,,
Staple remover,Office Supplies,Supplies,,
Acco Perma 4000 Stacking Storage Drawers,Office Supplies,Storage,,
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,Home,Furniture_Appliances
Xerox 1951,Office Supplies,Paper,,
Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,Chairs,Home,Furniture_Appliances
Design Ebony Sketching Pencil,Office Supplies,Art,,
Tennsco Regal Shelving Units,Office Supplies,Storage,,
Ideal Clamps,Office Supplies,Fasteners,,
"Global Value Steno Chair, Gray",Furniture,Chairs,Home,Furniture_Appliances
"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,Home,Furniture_Appliances
Quality Park Security Envelopes,Office Supplies,Envelopes,,
Design Ebony Sketching Pencil,Office Supplies,Art,,
Logitech Gaming G510s - Keyboard,Technology,Accessories,,
Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,,
Acme Forged Steel Scissors with Black Enamel Handles,Office Supplies,Supplies,,
GBC Standard Plastic Binding Systems Combs,Office Supplies,Binders,,
Novimex Turbo Task Chair,Furniture,Chairs,Home,Furniture_Appliances
Heavy-Duty E-Z-D Binders,Office Supplies,Binders,,
Global Comet Stacking Arm Chair,Furniture,Chairs,Home,Furniture_Appliances
"Dixon My First Ticonderoga Pencil, #2",Office Supplies,Art,,
Xerox 1996,Office Supplies,Paper,,
Xerox 213,Office Supplies,Paper,,
"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",Office Supplies,Paper,,
"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,Home,Furniture_Appliances
Avery Non-Stick Heavy Duty View Round Locking Ring Binders,Office Supplies,Binders,,
Xerox 1969,Office Supplies,Paper,,
Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,,
Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Furniture,Chairs,Home,Furniture_Appliances
I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones,,
"Dixon My First Ticonderoga Pencil, #2",Office Supplies,Art,,
Hewlett Packard 310 Color Digital Copier,Technology,Copiers,,
Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs,Home,Furniture_Appliances
Hewlett Packard 310 Color Digital Copier,Technology,Copiers,,
Avery 520,Office Supplies,Labels,,
Xerox 1935,Office Supplies,Paper,,
Xerox 1978,Office Supplies,Paper,,
"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",Office Supplies,Paper,,
Global Highback Leather Tilter in Burgundy,Furniture,Chairs,Home,Furniture_Appliances
"Dual Level, Single-Width Filing Carts",Office Supplies,Storage,,
Xerox 1971,Office Supplies,Paper,,
Sterilite Officeware Hinged File Box,Office Supplies,Storage,,
Avery 513,Office Supplies,Labels,,
Rubber Band Ball,Office Supplies,Fasteners,,
"Belkin 325VA UPS Surge Protector, 6'",Office Supplies,Appliances,,
Staple envelope,Office Supplies,Envelopes,,
"Dixon My First Ticonderoga Pencil, #2",Office Supplies,Art,,
Ibico Standard Transparent Covers,Office Supplies,Binders,,
AT&T 17929 Lendline Telephone,Technology,Phones,,
GBC Standard Plastic Binding Systems' Combs,Office Supplies,Binders,,
Samsung Rugby III,Technology,Phones,,
"Dixon My First Ticonderoga Pencil, #2",Office Supplies,Art,,
Advantus Map Pennant Flags and Round Head Tacks,Office Supplies,Fasteners,,
Office Star - Contemporary Task Swivel Chair,Furniture,Chairs,Home,Furniture_Appliances
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,Home,Furniture_Appliances
Space Solutions Commercial Steel Shelving,Office Supplies,Storage,,
GBC Instant Report Kit,Office Supplies,Binders,,
Staples,Office Supplies,Fasteners,,
"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Office Supplies,Appliances,,
Hon Olson Stacker Stools,Furniture,Chairs,Home,Furniture_Appliances
Global Deluxe High-Back Manager's Chair,Furniture,Chairs,Home,Furniture_Appliances
DIXON Oriole Pencils,Office Supplies,Art,,
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,,
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs,Home,Furniture_Appliances
"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,,
Presstex Flexible Ring Binders,Office Supplies,Binders,,
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,Chairs,Home,Furniture_Appliances
Plantronics Calisto P620-M USB Wireless Speakerphone System,Technology,Phones,,
Google Nexus 5,Technology,Phones,,
Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,,
Ibico Plastic and Wire Spiral Binding Combs,Office Supplies,Binders,,
Xerox 1880,Office Supplies,Paper,,
"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,,
GBC Standard Therm-A-Bind Covers,Office Supplies,Binders,,
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,Chairs,Home,Furniture_Appliances
"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs,Home,Furniture_Appliances
Global Leather Executive Chair,Furniture,Chairs,Home,Furniture_Appliances
"File Shuttle II and Handi-File, Black",Office Supplies,Storage,,
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,Home,Furniture_Appliances
Global Commerce Series Low-Back Swivel/Tilt Chairs,Furniture,Chairs,Home,Furniture_Appliances
Hon Mobius Operator's Chair,Furniture,Chairs,Home,Furniture_Appliances
"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",Office Supplies,Binders,,
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,Envelopes,,
Memorex Micro Travel Drive 8 GB,Technology,Accessories,,
Xerox 1978,Office Supplies,Paper,,
Novimex High-Tech Fabric Mesh Task Chair,Furniture,Chairs,Home,Furniture_Appliances
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,Chairs,Home,Furniture_Appliances
Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,Technology,Phones,,
Samsung Galaxy Mega 6.3,Technology,Phones,,
GE DSL Phone Line Filter,Technology,Phones,,
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,Chairs,Home,Furniture_Appliances
DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,,
Avery Hole Reinforcements,Office Supplies,Binders,,
"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",Office Supplies,Fasteners,,
Strathmore Photo Mount Cards,Office Supplies,Paper,,
Avery 478,Office Supplies,Labels,,
"Leather Task Chair, Black",Furniture,Chairs,Home,Furniture_Appliances
Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Furniture,Chairs,Home,Furniture_Appliances
Prestige Round Ring Binders,Office Supplies,Binders,,
"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs,Home,Furniture_Appliances
Novimex Swivel Fabric Task Chair,Furniture,Chairs,Home,Furniture_Appliances
Staple magnet,Office Supplies,Storage,,
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,,
Xerox 220,Office Supplies,Paper,,
Avery Durable Poly Binders,Office Supplies,Binders,,
"Global Stack Chair without Arms, Black",Furniture,Chairs,Home,Furniture_Appliances
Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage,,
Peel & Stick Add-On Corner Pockets,Office Supplies,Binders,,
Global Highback Leather Tilter in Burgundy,Furniture,Chairs,Home,Furniture_Appliances
Xerox 198,Office Supplies,Paper,,
Hon Every-Day Series Multi-Task Chairs,Furniture,Chairs,Home,Furniture_Appliances
X-Rack File for Hanging Folders,Office Supplies,Storage,,
"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,Home,Furniture_Appliances
Xerox 1997,Office Supplies,Paper,,
DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,Home,Furniture_Appliances
Novimex Turbo Task Chair,Furniture,Chairs,Home,Furniture_Appliances
Self-Adhesive Ring Binder Labels,Office Supplies,Binders,,
File Shuttle I and Handi-File,Office Supplies,Storage,,
"Global Stack Chair with Arms, Black",Furniture,Chairs,Home,Furniture_Appliances
Global Low Back Tilter Chair,Furniture,Chairs,Home,Furniture_Appliances
"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper,,
"Fellowes Strictly Business Drawer File, Letter/Legal Size",Office Supplies,Storage,,
SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,,
"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",Office Supplies,Binders,,
Fellowes Officeware Wire Shelving,Office Supplies,Storage,,
Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,,
Kensington 6 Outlet Guardian Standard Surge Protector,Office Supplies,Appliances,,
GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,,
VariCap6 Expandable Binder,Office Supplies,Binders,,
Eldon Fold 'N Roll Cart System,Office Supplies,Storage,,
Staple envelope,Office Supplies,Envelopes,,
Global Deluxe Office Fabric Chairs,Furniture,Chairs,Home,Furniture_Appliances
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,,
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,Technology,Machines,Electronics,Electronics_misc
Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,Office Supplies,Appliances,,
"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Office Supplies,Binders,,
Durable Pressboard Binders,Office Supplies,Binders,,
