Description,Category,Sub_Category,ProductBrand,Description2
Divine Casa Olive Green & Beige Geometric Reversible AC Room 110 GSM Single Bed Dohar,,,Divine Casa,"Set content: Reversible single bed doharUsage: AC RoomGSM: 110Colour: Olive Green, beige and grey Pattern: Geometric Dohar"
Cherry Crumble Girls Pink Solid Sweater,Clothes,Clothes,Cherry Crumble,"Pink solid sweater, has a round neck, long sleeves, and straight hem"
CODE by Lifestyle Men Navy Blue Regular Fit Striped Casual Shirt,Clothes,Clothes,CODE by Lifestyle,"Navy Blue striped casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Roadster Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Clothes,Clothes,Roadster,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops"
Fame Forever by Lifestyle Men Black Solid Round Neck T-shirt,Clothes,Clothes,Fame Forever by Lifestyle,"Black solid T-shirt, has a round neck, and short sleeves"
Veni Vidi Vici Women Rust Orange Solid Fitted Crop Top,Clothes,Clothes,Veni Vidi Vici,"Rust orange solid knitted fitted crop top with tie-up detail, has shoulder straps"
Killer Men Black Printed Sweatshirt,Clothes,Clothes,Killer,"Black Printed Sweatshirt, has a round neck, long sleeves"
CODE by Lifestyle Men Blue Slim Fit Printed Formal Shirt,Clothes,Clothes,CODE by Lifestyle,"Blue printed formal shirt, has a cutaway collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Titan Workwear Women White Analogue watch NL2588KM01,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, CalendarStrap style: Silver-Toned regular, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case"
Sonata Blush Women Pink Analogue watch 8123WM01,Clothes,Bags_Accessories,Sonata,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Rose Gold-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case"
Fastrack Fundamentals Women Blue Analogue watch NL68008SM03,Clothes,Bags_Accessories,Fastrack,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset TimeStrap style: Silver-Toned regular, stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case"
DKNY Women Be Tempted Eau De Parfum 50 ml,,,DKNY,"A fresh alchemy of oriental sweetness and gardenia opulence, this 'Be Tempted' EDP (Eau De Parfum) from DKNY will lift up your senses and make you feel fresh, all-day and all-night longIt opens with the fruity notes of cassia, lemon, red berries, licorice and appleThe heart represents femininity and passion captured by rose essential oil, violet and orange blossomExotic Indonesian patchouli oil in the base blends with vanilla cream and oriental myrrh resin"
Fame Forever by Lifestyle Men Mustard Yellow Printed Round Neck T-shirt,Clothes,Clothes,Fame Forever by Lifestyle,"Mustard yellow printed T-shirt, has a round neck, and short sleeves"
DKNY Women Nectar Love Eau de Parfum 100 ml,,,DKNY,"What it is:DKNY Nectar Love by Donna Karan is an oriental fragranceFeatures:Top Notes - Grapefruit, mandarin orange, nectarine, yellow freesia and solar notesHeart Notes - Jasmine, lily-of-the-valley and mirabelleBase Notes - Beeswax, cedar, vanilla, musk and neroli"
Besiva Women Pink Printed Round Neck T-shirt,Clothes,Clothes,Besiva,"Pink printed T-shirt, has a round neck, and short sleeves"
Alcis Men Black Solid Training Slim Fit Track Pants,Clothes,Clothes,Alcis,"Black solid track pants, has an elasticated waistband with drawstring closure, three pocketsEngineered with Rapid Dry technology"
Veni Vidi Vici Women Black Solid Fitted Crop Top,Clothes,Clothes,Veni Vidi Vici,"Black solid knitted fitted crop top with cut-out detail, has a boat neck, long sleeves, and adjustable waist tie-up on the front"
Veni Vidi Vici Women Sea Green Solid Bardot Crop Top,Clothes,Clothes,Veni Vidi Vici,"Sea green solid knitted bardot crop top with knot detail, has shoulder straps, and long sleeves"
Titan Men Black Analogue Watch 90104KM04,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Chronograph, Multi Function, Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 100 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case"
Roadster Men Blue Skinny Fit Mid-Rise Clean Look Acid Wash Stretchable Jeans,Clothes,Clothes,Roadster,"Blue medium acid wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops"
berrytree Unisex Navy Blue Solid Polo Collar Slim Fit Sustainable T-shirt,Clothes,Clothes,berrytree,"Navy blue solid Sustainable T-shirt, has a polo collar, and long sleeves"
DODO & MOA Women Red Solid Basic Jumpsuit,Clothes,Clothes,DODO & MOA,"Red solid basic jumpsuit, has a round neck, sleeveless"
Sergio Tacchini Men Blue Sneakers,Clothes,Shoes,Sergio Tacchini,"A pair of round-toe blue sneakers, has regular styling, lace-up detailCanvas upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
ColorPlus Men Maroon & Blue Regular Fit Checked Casual Shirt,Clothes,Clothes,ColorPlus,"Maroon and Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Titan Men Blue Analogue Watch 90099SL01,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: ElectronicPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Blue regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case"
Besiva Women Pink Solid Regular Fit Hot Pants,Clothes,Clothes,Besiva,"Pink solid mid-rise hot pants, has a drawstring closure"
Soumya White & Red Single Long Door Curtain,Home,Decor,Soumya,Set content: Single Long Door curtainColour: White and RedPattern: Ethnic MotifsLight blocking: RegularFitting: EyeletLining: No
Fastrack Men Grey Textured Analogue Watch 3124SL06,Clothes,Bags_Accessories,Fastrack,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Textured round metal dialFeatures: Reset TimeStrap style: Brown regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case"
DKNY Women Nectar Love Eau de Toilette 50 ml,,,DKNY,"NOTESTop notes are grapefruit, mandarin orange, nectarine, yellow freesia and solar notesmiddle notes are jasmine, lily-of-the-valley and mirabellebase notes are beeswax, cedar, vanilla, musk and neroliHOW TO USE?Spray into body for a refreshing effect. Reapply as desired.ABOUT THE COLLECTIONDKNY Golden Delicious celebrates luxury and splendor with its rich and accentuated aromas of juicy 'Golden delices' apple, accompanied by orange blossom and mirabelle plum.ABOUT THE BRANDDKNY fragrances reflect Donna Karan?s love of New York and her desire to create a brand designed for the truly modern woman on the go with a multifaceted lifestyle. Celebrating the calm and chaos of the city, DKNY blurs the lines between aspiration and practicality, balancing softness and tension. Like the city that inspired it, DKNY Fragrance celebrates individuality with a playful spirit."
Titan Women White Analogue Watch 2480SM09,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Titan case"
Sonata Reloaded Men Blue Analogue watch 77031SL01,Clothes,Bags_Accessories,Sonata,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, CalendarStrap style: Brown regular, leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case"
Fame Forever by Lifestyle Men Blue Slim Fit Solid Regular Trousers,Clothes,Clothes,Fame Forever by Lifestyle,"Blue solid mid-rise trousersÂ has button closure, four pockets"
Roadster Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Clothes,Clothes,Roadster,"Blue medium wash 5-pocket mid-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
Fame Forever by Lifestyle Men & White Black Printed Round Neck T-shirt,Clothes,Clothes,Fame Forever by Lifestyle,"Black & white printed T-shirt, has a round neck, and short sleeves"
Tokyo Talkies Women Green Solid Peplum Top,Clothes,Clothes,Tokyo Talkies,"Green solid woven peplum top, has a round neck, three-quarter sleeves, and button closure. has lace insert detail"
Fastrack Women Black & Blue Analogue Watch 6168NM01,Clothes,Bags_Accessories,Fastrack,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round metal dialFeatures: Reset Time, Date ApertureStrap style: Black bracelet style, stainless steel strap with a foldover closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case"
Metro Women Brown Printed Heels,Clothes,Shoes,Metro,"A pair of brown open toe heels, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsole, has a wedge heelWarranty: 1 monthWarranty provided by brand/manufacturer"
ColorPlus Men Blue & Grey Tailored Fit Printed Casual Shirt,Clothes,Clothes,ColorPlus,"Blue and Grey printed casual shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket"
Veni Vidi Vici Women Blue Bodycon Dress,Clothes,Clothes,Veni Vidi Vici,"Blue solid knitted bodycon dress with ruffles and overlapping detail, has a V-neck, short sleeves, and straight hem"
Fame Forever by Lifestyle Men Blue & White Slim Fit Checked Casual Shirt,Clothes,Clothes,Fame Forever by Lifestyle,"Blue and White checked casual shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
Soumya White & Blue Single Long Door Curtain,Home,Decor,Soumya,Set content: Single Long Door curtainColour: White and BluePattern: Floral Light blocking: RegularFitting: EyeletLining: No
Titan Women Grey Analogue Watch 2570SM07,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset Time, Date ApertureStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case"
Zoop Unisex Kids Black Analogue Watch 16005PP01,Clothes,Bags_Accessories,Zoop,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round plastic dialFeatures: Reset TimeStrap style: Black regular, rubber strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Zoop case"
Calvin Klein Unisex Red Cabin Trolley Bag,Clothes,Bags_Accessories,Calvin Klein,"Red cabin trolley bag secured with a TSA lockOne padded handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted 360-degree wheelsOne main zip compartment with a zip lining, has a zip pocket on the flap2 external zip pocket on the frontZipper detail to adjust the depthWarranty: 10 yearsWarranty provided by the brand owner/manufacturer"
TIMESMITH Women Brown Analogue Watch TSC-050,Clothes,Bags_Accessories,TIMESMITH,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Embellished round stainless steel dialFeatures: Multi FunctionStrap style: Rose Gold-Toned bracelet style, stainless steel strap with a button closureWater resistance: Water ResistantWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature TIMESMITH case"
Metro Women Black Solid Leather Heels,Clothes,Shoes,Metro,"A pair of black open toe sandals, has regular styling, open back detailLeather upperCushioned footbedTextured and patterned outsole, has a wedge heelWarranty: 1 monthWarranty provided by brand/manufacturer"
Arrow Sport Navy Woollen Sweater,Clothes,Clothes,Arrow Sport,"Navy blueÂ sweater, has a V-neck, long sleeves"
Fastrack Men Orange Leather Analogue and Digital Watch 38034SL01,Clothes,Bags_Accessories,Fastrack,"Display: Analogue and DigitalMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date ApertureStrap style: Orange regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case"
Kraus Jeans Women Black Skinny Fit High-Rise Clean Look Cropped Jeans K4050,Clothes,Clothes,Kraus Jeans,"Black dark wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
Titan Men Black Analogue Watch 1802NL01,Clothes,Bags_Accessories,Titan,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Brown regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturerComes in a Titan case"
Kraus Jeans Women Black Skinny Fit Mid-Rise Clean Look Cropped Jeans K4050,Clothes,Clothes,Kraus Jeans,"Black dark wash 5-pocket mid-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
CODE by Lifestyle Men Yellow & White Regular Fit Checked Casual Shirt,Clothes,Clothes,CODE by Lifestyle,"Yellow and White checked casual shirt, has a spread collar, long sleeves, snap button placket, curved hem, and 1 patch pocket"
Roadster Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Clothes,Clothes,Roadster,"Black dark wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops"
